timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777848245.7726,40,41,43,39,39,40,40,41,43,40,40,41
1777848245.9729,40,41,43,39,39,40,40,41,43,40,40,41
1777848246.1733,40,41,43,39,39,40,40,41,43,40,40,41
1777848246.3736,40,41,43,39,40,40,40,41,43,40,40,41
1777848246.5739,40,41,43,39,39,41,40,41,43,40,40,41
1777848246.7742,40,41,43,39,40,41,40,41,43,40,40,41
1777848246.9746,40,41,43,39,40,41,40,41,43,40,40,41
1777848247.1753,40,41,43,39,40,41,40,41,43,40,40,41
1777848247.3755,40,41,43,39,39,41,40,41,43,40,40,41
1777848247.5758,40,41,43,39,39,41,40,41,43,40,40,41
1777848247.7760,40,41,43,39,40,41,40,42,43,40,40,41
1777848247.9764,40,41,43,39,40,41,40,41,43,40,40,41
1777848248.1767,40,41,43,39,40,41,41,41,43,40,40,41
1777848248.3769,40,41,43,39,40,41,40,41,43,40,40,41
1777848248.5776,40,41,43,39,39,41,41,41,43,40,41,41
1777848248.7782,40,41,43,39,40,41,40,41,43,40,40,41
1777848248.9786,40,41,43,39,40,41,40,41,43,40,41,41
1777848249.1794,40,41,43,39,40,41,40,41,43,40,41,41
1777848249.3803,40,41,43,39,40,41,40,41,43,40,41,41
1777848249.5806,40,41,43,39,40,41,41,42,43,40,41,41
1777848249.7808,40,41,43,39,40,41,40,41,43,40,41,41
1777848249.9813,40,41,43,39,40,41,41,42,43,40,41,41
1777848250.1819,40,41,43,39,40,41,41,41,43,40,41,41
1777848250.3823,40,41,43,39,40,41,40,41,44,40,41,41
1777848250.5825,40,41,43,39,40,41,41,42,43,40,41,41
1777848250.7828,40,41,43,39,40,41,41,42,44,40,41,42
1777848250.9833,40,41,44,39,40,41,40,42,44,40,41,41
1777848251.1835,40,41,44,39,40,41,41,42,44,40,41,42
1777848251.3838,40,41,44,39,40,41,40,42,44,40,41,42
1777848251.5843,40,42,44,39,40,41,41,42,44,40,41,42
1777848251.7847,40,41,44,39,40,41,41,42,44,40,41,42
1777848251.9850,40,41,44,39,40,41,41,42,44,40,41,42
1777848252.1852,40,42,44,39,40,41,41,42,44,40,41,42
1777848252.3855,40,42,44,39,40,41,41,42,44,40,41,42
1777848252.5857,40,42,44,39,40,41,41,42,44,40,41,42
1777848252.7863,41,42,44,39,40,41,41,42,44,40,41,42
1777848252.9865,40,42,44,39,40,41,40,42,44,40,41,42
1777848253.1868,40,42,44,39,40,41,41,42,44,41,41,42
1777848253.3876,40,42,44,39,40,41,41,42,44,40,41,42
1777848253.5879,40,42,44,39,40,41,41,42,44,41,41,42
1777848253.7880,40,42,44,39,40,41,41,42,44,41,41,42
1777848253.9887,40,42,44,39,40,41,41,42,44,41,41,42
1777848254.1890,40,42,44,39,40,41,41,42,44,41,41,42
1777848254.3894,41,42,44,39,40,41,40,42,44,40,41,42
1777848254.5897,41,42,44,39,40,41,41,42,44,41,41,42
1777848254.7900,41,42,44,39,40,41,41,42,44,41,41,42
1777848254.9903,41,42,44,39,40,41,41,42,44,41,41,42
1777848255.1908,41,42,44,39,40,41,40,42,44,40,41,42
1777848255.3911,41,42,44,39,40,41,41,42,44,41,41,43
1777848255.5913,41,42,44,39,40,41,41,42,44,41,41,43
1777848255.7916,41,42,44,39,40,41,41,42,44,41,41,43
1777848255.9919,41,42,45,39,40,41,41,42,44,41,41,43
1777848256.1920,41,42,45,39,40,41,41,42,44,41,41,43
1777848256.3923,41,42,44,39,40,41,41,42,44,41,41,43
1777848256.5926,41,42,45,39,40,41,41,42,44,41,41,43
1777848256.7928,42,42,45,39,40,41,41,42,44,41,41,43
1777848256.9931,41,42,45,39,40,41,41,42,44,41,41,43
1777848257.1935,41,42,45,39,40,41,41,42,44,41,41,43
1777848257.3939,41,42,45,39,40,41,40,42,44,41,41,43
1777848257.5941,41,42,45,40,40,41,41,42,44,41,41,43
1777848257.7944,41,42,45,39,40,41,41,42,44,41,41,43
1777848257.9947,41,42,45,40,40,41,41,42,44,41,41,43
1777848258.1950,41,42,45,40,40,41,41,42,44,41,41,43
1777848258.3952,42,42,45,39,40,41,41,42,44,41,41,43
1777848258.5955,42,42,45,39,40,41,41,42,44,41,41,43
1777848258.7957,41,43,45,39,40,41,41,42,45,41,41,44
1777848258.9961,41,42,45,40,40,41,41,42,44,41,41,44
1777848259.1963,42,42,45,39,40,41,41,42,45,41,41,44
1777848259.3966,42,43,45,39,40,41,41,42,44,41,41,44
1777848259.5969,42,43,45,40,40,41,41,42,45,41,41,44
1777848259.7975,42,43,45,39,40,41,41,42,45,41,41,44
1777848259.9977,42,43,45,39,40,41,41,42,45,41,41,44
1777848260.1980,42,43,45,40,40,41,41,42,45,41,41,44
1777848260.3982,42,43,45,40,40,41,41,42,45,41,41,44
1777848260.5985,42,43,45,40,40,41,41,42,45,41,41,44
1777848260.7988,42,43,45,40,40,41,41,42,45,42,41,44
1777848260.9990,42,43,45,40,40,41,41,42,45,42,41,44
1777848261.1993,42,43,45,40,40,41,41,42,45,42,41,44
1777848261.4000,42,43,45,40,40,41,41,42,45,42,41,44
1777848261.6003,42,43,45,40,40,41,41,42,45,42,41,44
1777848261.8005,42,43,45,40,40,41,41,42,45,42,41,44
1777848262.0008,42,43,45,40,40,41,41,42,45,42,41,45
1777848262.2011,42,43,45,40,40,41,41,42,45,42,41,45
1777848262.4013,42,43,45,40,40,41,41,42,45,42,41,45
1777848262.6017,42,43,45,40,40,41,41,42,45,42,41,45
1777848262.8020,42,43,45,40,40,41,41,42,45,42,41,45
1777848263.0023,42,43,45,40,40,41,41,42,45,42,41,45
1777848263.2025,43,43,45,40,40,41,41,42,45,42,41,45
1777848263.4028,42,43,45,40,40,41,41,42,45,42,41,45
1777848263.6034,43,43,45,40,40,41,41,42,45,42,41,45
1777848263.8037,43,43,45,40,40,41,41,42,45,42,41,45
1777848264.0039,43,43,45,40,40,41,41,42,45,42,41,45
1777848264.2042,43,43,45,40,40,41,41,42,45,42,41,45
1777848264.4046,43,43,45,40,40,41,41,42,45,42,41,45
1777848264.6050,43,44,45,40,40,41,41,42,45,42,41,45
1777848264.8052,43,44,45,40,40,41,41,42,45,42,41,45
1777848265.0057,43,44,45,40,40,41,41,42,45,42,41,45
1777848265.2060,43,44,45,40,40,41,41,42,45,42,41,45
1777848265.4062,43,44,45,40,40,41,41,42,45,42,41,45
1777848265.6067,43,44,45,40,40,41,41,42,45,42,41,45
1777848265.8070,43,44,45,40,40,41,41,42,45,42,41,45
1777848266.0072,43,44,45,40,40,41,41,42,45,42,41,45
1777848266.2082,43,44,45,40,40,41,41,42,45,42,41,46
1777848266.4090,43,44,45,40,40,41,41,42,45,42,41,46
1777848266.6096,43,44,45,40,40,41,41,42,45,42,41,46
1777848266.8100,43,44,45,40,40,42,41,42,45,42,41,46
1777848267.0103,43,44,45,40,40,42,41,42,45,42,41,46
1777848267.2106,43,44,45,40,40,42,41,42,45,42,41,46
1777848267.4109,43,44,46,40,40,42,41,42,45,42,41,46
1777848267.6111,43,44,46,40,40,42,41,42,45,42,41,46
1777848267.8114,43,44,46,40,40,42,41,42,45,42,41,46
1777848268.0116,43,44,46,40,40,42,41,42,45,42,41,46
1777848268.2119,43,44,46,40,40,42,41,42,45,42,41,46
1777848268.4120,43,44,46,40,40,42,41,42,45,42,41,46
1777848268.6123,43,44,46,40,40,42,41,42,45,42,41,46
1777848268.8125,43,44,46,40,40,42,41,42,45,42,41,46
1777848269.0128,43,44,46,40,40,42,41,42,45,42,41,46
1777848269.2131,43,44,46,40,40,42,41,42,45,42,41,46
1777848269.4133,43,44,46,40,40,42,41,42,45,42,41,46
1777848269.6136,43,44,46,40,40,42,41,42,45,42,41,46
1777848269.8138,44,44,46,40,40,42,41,42,45,42,41,46
1777848270.0142,43,44,46,40,40,42,41,42,45,42,41,46
1777848270.2145,44,44,46,40,40,42,41,42,45,42,41,46
1777848270.4147,43,44,46,40,40,42,41,42,45,42,41,46
1777848270.6152,43,44,46,40,40,42,41,42,45,42,41,46
1777848270.8155,43,44,46,40,40,42,41,42,45,42,41,46
1777848271.0162,44,44,46,40,40,42,41,42,45,42,41,46
1777848271.2168,43,44,46,40,40,42,41,42,45,42,41,46
1777848271.4171,43,44,46,40,40,42,41,42,45,42,41,45
1777848271.6174,43,44,46,40,40,42,41,42,45,42,41,46
1777848271.8178,43,44,46,40,41,42,41,42,45,42,41,46
1777848272.0182,43,44,46,40,40,42,41,42,45,42,42,46
1777848272.2185,43,44,46,40,40,42,41,42,45,42,41,45
1777848272.4189,43,44,46,40,40,42,41,42,45,42,41,46
1777848272.6192,43,44,46,40,41,42,41,43,45,42,41,45
1777848272.8195,43,44,46,40,41,42,41,42,45,42,41,46
1777848273.0197,43,44,46,40,40,42,41,42,45,42,42,45
1777848273.2205,43,44,46,40,41,43,41,42,45,42,41,46
1777848273.4208,43,44,46,40,41,42,41,42,45,42,41,45
1777848273.6212,43,44,46,40,41,43,41,43,45,42,41,45
1777848273.8217,43,44,46,40,41,43,41,43,45,42,41,45
1777848274.0220,43,44,46,40,41,43,41,43,45,42,41,45
1777848274.2223,43,44,46,40,41,43,41,42,45,42,41,45
1777848274.4225,43,44,46,40,41,43,41,42,45,42,41,45
1777848274.6247,43,44,46,40,41,43,41,43,45,42,41,45
1777848274.8251,43,44,46,40,41,43,41,43,45,42,41,45
1777848275.0254,43,44,46,40,41,43,41,43,45,42,41,45
1777848275.2256,43,44,46,40,41,43,41,43,45,42,42,45
1777848275.4259,43,44,46,40,41,43,41,43,45,42,41,45
1777848275.6262,43,44,46,40,41,43,41,43,45,42,42,45
1777848275.8264,44,44,46,40,41,43,41,42,45,42,41,45
1777848276.0267,43,44,46,40,41,43,41,42,45,42,42,45
1777848276.2270,43,44,46,40,41,43,41,42,45,42,42,45
1777848276.4272,43,44,46,40,41,43,41,43,45,42,42,45
1777848276.6275,43,44,46,40,41,43,41,43,45,42,42,45
1777848276.8278,43,44,46,40,41,43,41,43,45,42,42,45
1777848277.0281,43,44,46,40,41,43,41,43,45,42,42,45
1777848277.2290,43,44,46,40,41,43,41,43,45,42,41,45
1777848277.4292,43,44,46,40,41,43,41,43,45,42,42,45
1777848277.6296,43,44,46,40,41,43,41,43,45,42,42,45
1777848277.8299,43,44,46,40,41,43,42,43,45,42,41,45
1777848278.0302,43,44,46,40,41,43,41,43,45,42,42,45
1777848278.2305,43,44,46,40,41,43,41,43,45,42,42,45
1777848278.4310,43,44,46,40,41,43,41,43,45,42,42,45
1777848278.6314,43,44,46,40,41,43,41,43,45,42,42,45
1777848278.8317,43,44,46,40,41,43,41,43,45,42,42,45
1777848279.0320,43,44,46,40,41,44,42,43,45,42,42,45
1777848279.2324,43,44,46,40,41,44,42,43,45,42,42,45
1777848279.4327,43,44,46,40,41,44,41,43,45,42,42,45
1777848279.6329,43,44,46,40,41,44,42,43,45,42,42,45
1777848279.8332,43,44,46,40,41,44,41,43,45,42,42,45
1777848280.0334,44,44,46,40,41,44,42,43,45,42,42,45
1777848280.2337,43,44,46,40,41,44,42,43,45,42,42,45
1777848280.4340,43,44,46,40,41,44,41,43,45,42,42,45
1777848280.6342,43,44,46,40,41,44,42,43,45,42,42,45
1777848280.8345,43,44,46,40,41,44,42,43,45,42,42,45
1777848281.0348,43,44,46,40,41,44,42,43,45,42,42,45
1777848281.2351,43,44,46,40,41,44,42,43,45,42,42,45
1777848281.4355,44,44,46,40,41,44,42,43,45,42,42,45
1777848281.6356,44,44,46,40,41,44,42,43,45,42,42,45
1777848281.8359,43,44,46,40,41,44,42,43,45,42,42,45
1777848282.0364,43,44,46,40,41,44,41,43,45,42,42,45
1777848282.2368,43,44,46,40,41,44,41,43,45,42,42,45
1777848282.4370,43,44,46,40,41,44,42,43,45,42,42,45
1777848282.6373,44,44,46,40,41,44,42,43,45,42,42,45
1777848282.8376,43,44,46,40,41,44,42,43,45,42,42,45
1777848283.0379,43,44,46,40,41,44,42,43,45,42,42,45
1777848283.2381,43,44,46,40,41,44,41,43,45,42,42,45
1777848283.4384,43,44,46,40,41,44,42,43,45,42,42,45
1777848283.6386,43,44,46,40,41,44,42,43,45,42,42,45
1777848283.8389,43,44,46,40,41,44,42,43,45,42,42,45
1777848284.0392,43,44,46,40,41,44,41,43,45,42,42,45
1777848284.2395,43,44,46,40,41,44,42,43,45,42,42,45
1777848284.4398,43,44,46,40,41,44,42,43,45,42,42,45
1777848284.6404,43,44,46,40,41,44,41,43,45,42,42,45
1777848284.8408,43,44,46,40,41,44,42,43,45,42,42,45
1777848285.0411,43,44,46,40,41,44,42,43,45,42,42,45
1777848285.2414,43,44,46,40,41,44,42,43,45,42,42,45
1777848285.4416,43,44,46,40,41,44,42,43,45,42,42,45
1777848285.6419,43,44,46,40,41,44,42,43,45,42,42,45
1777848285.8422,43,44,46,40,41,45,42,43,45,42,42,45
1777848286.0424,43,44,46,40,41,45,42,43,45,42,42,45
1777848286.2427,43,44,46,40,41,45,42,43,45,42,42,45
1777848286.4429,43,44,46,40,41,45,42,43,45,42,42,45
1777848286.6432,43,44,46,40,41,45,42,43,45,42,42,45
1777848286.8436,43,44,46,40,41,45,42,43,45,42,42,45
1777848287.0439,43,44,46,40,41,45,42,43,45,42,42,45
1777848287.2442,43,44,46,40,41,45,42,43,45,42,42,45
1777848287.4444,43,44,46,40,41,45,42,43,45,42,42,45
1777848287.6447,43,44,46,40,41,45,41,43,45,42,42,45
1777848287.8449,43,44,46,40,41,45,42,43,45,42,42,45
1777848288.0452,43,44,46,40,41,45,42,43,45,42,42,45
1777848288.2454,43,44,46,40,41,45,42,43,45,42,42,45
1777848288.4457,43,44,46,40,41,45,42,43,45,42,42,45
1777848288.6460,43,44,46,40,41,45,41,43,45,42,42,45
1777848288.8463,43,44,46,40,41,45,42,43,45,42,42,45
1777848289.0466,43,44,46,40,41,45,42,43,45,42,42,45
1777848289.2468,43,44,46,40,41,45,42,43,45,42,42,45
1777848289.4471,43,44,46,40,41,45,42,43,45,42,42,45
1777848289.6474,43,44,46,40,41,45,42,43,45,42,42,45
1777848289.8477,43,44,46,40,41,45,42,43,45,42,42,45
1777848290.0483,43,44,46,40,41,45,42,43,45,42,42,45
1777848290.2488,43,44,46,40,41,45,42,43,45,42,42,45
1777848290.4492,43,44,46,40,41,45,42,43,45,42,42,45
1777848290.6495,43,44,46,40,41,45,42,43,45,42,42,45
1777848290.8498,43,44,46,40,41,45,42,43,45,42,42,45
1777848291.0501,43,44,46,41,41,45,41,43,45,42,42,44
1777848291.2503,43,44,46,40,41,45,42,43,45,42,42,44
1777848291.4506,43,44,46,40,41,45,42,43,45,42,42,45
1777848291.6508,43,44,46,40,41,45,42,43,45,42,42,45
1777848291.8513,43,44,46,40,41,45,42,43,45,42,42,44
1777848292.0515,43,44,46,40,41,45,42,43,45,42,42,45
1777848292.2518,43,44,46,40,41,45,42,43,45,42,42,44
1777848292.4522,43,44,46,40,41,45,42,43,45,42,42,44
1777848292.6525,43,44,46,40,41,45,42,43,45,42,42,44
1777848292.8527,43,44,46,40,41,45,42,43,45,42,42,44
1777848293.0533,43,44,46,40,41,46,42,43,45,42,42,44
1777848293.2536,43,44,46,40,41,45,41,43,45,42,42,44
1777848293.4539,43,44,46,41,41,46,42,43,45,42,42,44
1777848293.6541,43,44,46,40,41,46,42,43,45,42,42,44
1777848293.8544,43,44,46,40,41,46,42,43,45,42,42,44
1777848294.0547,43,44,46,41,41,46,42,43,45,42,42,44
1777848294.2550,43,44,46,40,41,46,42,43,45,42,42,44
1777848294.4553,43,44,46,41,41,46,42,43,45,42,42,44
1777848294.6556,43,44,46,41,41,46,42,43,45,42,42,44
1777848294.8558,43,44,46,40,41,46,42,43,45,42,42,44
1777848295.0561,43,44,46,40,41,46,42,43,45,42,42,44
1777848295.2564,43,44,46,41,41,46,42,43,45,42,42,44
1777848295.4566,43,44,46,41,41,46,42,43,45,42,42,44
1777848295.6569,43,44,46,40,41,46,42,43,45,42,42,44
1777848295.8572,43,44,46,41,41,46,42,43,45,42,42,44
1777848296.0574,43,44,46,41,41,46,42,43,45,42,42,44
